province,year,track,university,major,min_score,min_rank,batch,admission_count,subject_requirement,tuition,notes
广东,2025,历史,中南林业科技大学,专业组 208,551,23615,本科批,5,历史,0,院校代码:10538;专业组:208;计划数:5
广东,2025,历史,中南林业科技大学,专业组 209,553,22669,本科批,2,历史,0,院校代码:10538;专业组:209;计划数:2
广东,2025,历史,中南林业科技大学,专业组 210,550,23808,本科批,27,历史,0,院校代码:10538;专业组:210;计划数:27
广东,2025,历史,湖南师范大学,专业组 222,596,6080,本科批,69,历史,0,院校代码:10542;专业组:222;计划数:69
广东,2025,历史,湖南师范大学,专业组 224,591,7403,本科批,6,历史,0,院校代码:10542;专业组:224;计划数:6
广东,2025,历史,湖南师范大学,专业组 225,595,6468,本科批,2,历史,0,院校代码:10542;专业组:225;计划数:2
广东,2025,历史,湖南师范大学,专业组 226,596,6094,本科批,4,历史,0,院校代码:10542;专业组:226;计划数:4
广东,2025,历史,湖南理工学院,专业组 212,538,31183,本科批,5,历史,0,院校代码:10543;专业组:212;计划数:5
广东,2025,历史,湖南理工学院,专业组 213,535,32683,本科批,12,历史,0,院校代码:10543;专业组:213;计划数:12
广东,2025,历史,湘南学院,专业组 217,522,41249,本科批,8,历史,0,院校代码:10545;专业组:217;计划数:8
广东,2025,历史,衡阳师范学院,专业组 208,526,38821,本科批,4,历史,0,院校代码:10546;专业组:208;计划数:4
广东,2025,历史,衡阳师范学院,专业组 209,521,42121,本科批,14,历史,0,院校代码:10546;专业组:209;计划数:14
广东,2025,历史,邵阳学院,专业组 210,520,42829,本科批,7,历史,0,院校代码:10547;专业组:210;计划数:7
广东,2025,历史,邵阳学院,专业组 211,530,36110,本科批,5,历史,0,院校代码:10547;专业组:211;计划数:5
广东,2025,历史,怀化学院,专业组 211,520,42977,本科批,1,历史,0,院校代码:10548;专业组:211;计划数:1
广东,2025,历史,怀化学院,专业组 212,525,39407,本科批,2,历史,0,院校代码:10548;专业组:212;计划数:2
广东,2025,历史,湖南文理学院,专业组 206,527,38087,本科批,8,历史,0,院校代码:10549;专业组:206;计划数:8
广东,2025,历史,湖南科技学院,专业组 209,525,39259,本科批,3,历史,0,院校代码:10551;专业组:209;计划数:3
广东,2025,历史,湖南科技学院,专业组 210,520,42807,本科批,6,历史,0,院校代码:10551;专业组:210;计划数:6
广东,2025,历史,湖南人文科技学院,专业组 208,520,42844,本科批,6,历史,0,院校代码:10553;专业组:208;计划数:6
广东,2025,历史,湖南人文科技学院(中外合作办学),专业组 209,508,51654,本科批,4,历史,0,院校代码:10553;专业组:209;计划数:4
广东,2025,历史,湖南人文科技学院,专业组 210,525,39673,本科批,4,历史,0,院校代码:10553;专业组:210;计划数:4
广东,2025,历史,湖南工商大学,专业组 210,559,19742,本科批,1,历史,0,院校代码:10554;专业组:210;计划数:1
广东,2025,历史,湖南工商大学,专业组 211,558,19862,本科批,2,历史,0,院校代码:10554;专业组:211;计划数:2
广东,2025,历史,南华大学,专业组 212,556,20916,本科批,2,历史,0,院校代码:10555;专业组:212;计划数:2
广东,2025,历史,南华大学,专业组 213,552,23011,本科批,2,历史,0,院校代码:10555;专业组:213;计划数:2
广东,2025,历史,南华大学,专业组 214,554,21839,本科批,14,历史,0,院校代码:10555;专业组:214;计划数:14
广东,2025,历史,中山大学,专业组 210,623,1590,本科批,51,历史,0,院校代码:10558;专业组:210;计划数:51
广东,2025,历史,中山大学,专业组 211,626,1409,本科批,156,历史,0,院校代码:10558;专业组:211;计划数:155
广东,2025,历史,中山大学,专业组 221,627,1317,本科批,198,历史,0,院校代码:10558;专业组:221;计划数:198
广东,2025,历史,中山大学,专业组 222,625,1433,本科批,187,历史,0,院校代码:10558;专业组:222;计划数:187
广东,2025,历史,暨南大学,专业组 201,609,3362,本科批,6,历史,0,院校代码:10559;专业组:201;计划数:6
广东,2025,历史,暨南大学(艺术类),专业组 202,598,5524,本科批,5,历史,0,院校代码:10559;专业组:202;计划数:5
广东,2025,历史,暨南大学,专业组 203,603,4574,本科批,26,历史,0,院校代码:10559;专业组:203;计划数:26
广东,2025,历史,暨南大学,专业组 204,603,4615,本科批,94,历史,0,院校代码:10559;专业组:204;计划数:94
广东,2025,历史,暨南大学,专业组 205,606,3867,本科批,51,历史,0,院校代码:10559;专业组:205;计划数:51
广东,2025,历史,暨南大学,专业组 206,605,4126,本科批,127,历史,0,院校代码:10559;专业组:206;计划数:127
广东,2025,历史,暨南大学,专业组 207,604,4278,本科批,78,历史,0,院校代码:10559;专业组:207;计划数:78
广东,2025,历史,暨南大学,专业组 208,604,4307,本科批,21,历史,0,院校代码:10559;专业组:208;计划数:21
广东,2025,历史,暨南大学,专业组 209,613,2810,本科批,66,历史,0,院校代码:10559;专业组:209;计划数:66
广东,2025,历史,汕头大学,专业组 201,566,16596,本科批,301,历史,0,院校代码:10560;专业组:201;计划数:301
广东,2025,历史,汕头大学,专业组 202,564,17167,本科批,362,历史,0,院校代码:10560;专业组:202;计划数:362
广东,2025,历史,汕头大学(地方专项),专业组 207,551,23398,本科批,22,历史,0,院校代码:10560;专业组:207;计划数:22
广东,2025,历史,汕头大学(地方专项),专业组 208,553,22751,本科批,19,历史,0,院校代码:10560;专业组:208;计划数:19
广东,2025,历史,华南理工大学,专业组 211,615,2478,本科批,220,历史,0,院校代码:10561;专业组:211;计划数:220
广东,2025,历史,华南农业大学,专业组 201,586,9104,本科批,60,历史,0,院校代码:10564;专业组:201;计划数:60
广东,2025,历史,华南农业大学,专业组 202,577,12020,本科批,405,历史,0,院校代码:10564;专业组:202;计划数:405
广东,2025,历史,华南农业大学,专业组 203,573,13703,本科批,838,历史,0,院校代码:10564;专业组:203;计划数:838
广东,2025,历史,华南农业大学,专业组 205,568,15683,本科批,452,历史,0,院校代码:10564;专业组:205;计划数:452
广东,2025,历史,华南农业大学,专业组 206,581,10583,本科批,5,历史,0,院校代码:10564;专业组:206;计划数:5
广东,2025,历史,华南农业大学,专业组 207,567,15903,本科批,131,历史,0,院校代码:10564;专业组:207;计划数:131
广东,2025,历史,华南农业大学,专业组 208,562,18085,本科批,5,历史,0,院校代码:10564;专业组:208;计划数:5
广东,2025,历史,华南农业大学(国际班),专业组 209,529,36448,本科批,230,历史,0,院校代码:10564;专业组:209;计划数:230
广东,2025,历史,广东海洋大学,专业组 228,542,28710,本科批,48,历史,0,院校代码:10566;专业组:228;计划数:48
